<Source>IBANDL plus, Nuno P. Barradas fit </Source>, 
<Created> File created 09-10-2009 17:17:27 by Nuno P. Barradas</Created> 
<Comment> </Comment>
<Reaction> </Reaction>
<EnergyRange> </EnergyRange>
<AnglesNumber> 20 </AnglesNumber>
<EnergiesNumber> 91</EnergiesNumber>
<Data>
,01, 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 89, 90
5500, 54.753, 53.082, 48.199, 41.083, 32.925, 24.862, 17.732, 11.978, 7.688, 4.71, 2.777, 1.603, 0.946, 0.635, 0.559, 0.641, 0.8, 0.948, 0.999, 1
5600, 59.213, 57.382, 52.036, 44.257, 35.359, 26.594, 18.875, 12.677, 8.082, 4.914, 2.87, 1.634, 0.944, 0.616, 0.534, 0.618, 0.786, 0.944, 0.999, 1
5700, 63.983, 61.98, 56.133, 47.639, 37.947, 28.43, 20.083, 13.414, 8.499, 5.131, 2.972, 1.673, 0.947, 0.599, 0.508, 0.594, 0.772, 0.94, 0.999, 1
5800, 69.077, 66.887, 60.501, 51.239, 40.695, 30.374, 21.358, 14.191, 8.939, 5.363, 3.084, 1.718, 0.955, 0.585, 0.484, 0.571, 0.757, 0.935, 0.999, 1
5900, 74.506, 72.116, 65.151, 55.064, 43.607, 32.428, 22.703, 15.009, 9.404, 5.61, 3.207, 1.772, 0.969, 0.574, 0.461, 0.547, 0.741, 0.93, 0.999, 1
6000, 80.283, 77.678, 70.091, 59.12, 46.689, 34.596, 24.118, 15.869, 9.894, 5.874, 3.342, 1.835, 0.989, 0.568, 0.44, 0.523, 0.725, 0.925, 0.999, 1
6100, 86.418, 83.582, 75.33, 63.415, 49.943, 36.879, 25.606, 16.773, 10.41, 6.156, 3.49, 1.909, 1.017, 0.566, 0.42, 0.499, 0.709, 0.92, 0.998, 1
6200, 92.92, 89.837, 80.874, 67.951, 53.372, 39.28, 27.166, 17.72, 10.954, 6.457, 3.654, 1.994, 1.054, 0.569, 0.403, 0.476, 0.692, 0.915, 0.998, 1
6300, 99.794, 96.449, 86.728, 72.732, 56.979, 41.797, 28.798, 18.712, 11.527, 6.779, 3.834, 2.093, 1.101, 0.579, 0.389, 0.454, 0.675, 0.909, 0.998, 1
6400, 107.045, 103.42, 92.893, 77.759, 60.762, 44.432, 30.504, 19.748, 12.128, 7.122, 4.032, 2.207, 1.159, 0.596, 0.378, 0.432, 0.658, 0.903, 0.998, 1
6500, 114.674, 110.752, 99.37, 83.031, 64.721, 47.182, 32.281, 20.829, 12.759, 7.487, 4.249, 2.337, 1.23, 0.621, 0.372, 0.411, 0.641, 0.897, 0.998, 1
6600, 122.677, 118.441, 106.155, 88.544, 68.851, 50.044, 34.128, 21.953, 13.42, 7.877, 4.487, 2.485, 1.314, 0.655, 0.37, 0.392, 0.623, 0.891, 0.997, 1
6700, 131.049, 126.48, 113.243, 94.292, 73.148, 53.015, 36.042, 23.12, 14.112, 8.292, 4.747, 2.652, 1.414, 0.699, 0.372, 0.375, 0.606, 0.884, 0.997, 1
6800, 139.777, 134.86, 120.622, 100.266, 77.603, 56.088, 38.02, 24.327, 14.834, 8.733, 5.031, 2.839, 1.529, 0.754, 0.381, 0.359, 0.589, 0.878, 0.997, 1
6900, 148.848, 143.565, 128.278, 106.454, 82.208, 59.257, 40.057, 25.574, 15.586, 9.201, 5.339, 3.049, 1.662, 0.82, 0.396, 0.346, 0.572, 0.871, 0.997, 1
7000, 158.238, 152.574, 136.193, 112.839, 86.948, 62.512, 42.147, 26.857, 16.367, 9.696, 5.674, 3.283, 1.814, 0.9, 0.418, 0.336, 0.556, 0.864, 0.996, 1
7100, 167.925, 161.863, 144.344, 119.402, 91.81, 65.844, 44.285, 28.173, 17.176, 10.219, 6.037, 3.541, 1.986, 0.993, 0.447, 0.328, 0.54, 0.857, 0.996, 1
7200, 177.875, 171.401, 152.705, 126.122, 96.775, 69.239, 46.462, 29.518, 18.013, 10.771, 6.428, 3.825, 2.179, 1.1, 0.485, 0.324, 0.525, 0.85, 0.996, 1
7300, 188.053, 181.154, 161.243, 132.971, 101.825, 72.684, 48.671, 30.888, 18.876, 11.35, 6.848, 4.136, 2.393, 1.222, 0.531, 0.323, 0.511, 0.843, 0.995, 1
7400, 198.416, 191.081, 169.923, 139.92, 106.935, 76.163, 50.901, 32.278, 19.762, 11.958, 7.298, 4.475, 2.63, 1.36, 0.586, 0.327, 0.498, 0.836, 0.995, 1
7500, 208.92, 201.138, 178.705, 146.937, 112.083, 79.661, 53.142, 33.682, 20.67, 12.593, 7.778, 4.842, 2.89, 1.515, 0.65, 0.334, 0.486, 0.829, 0.994, 1
7600, 219.513, 211.276, 187.546, 153.986, 117.242, 83.158, 55.384, 35.094, 21.596, 13.255, 8.288, 5.238, 3.174, 1.685, 0.724, 0.346, 0.476, 0.823, 0.994, 1
7700, 230.141, 221.442, 196.4, 161.031, 122.383, 86.636, 57.614, 36.509, 22.538, 13.942, 8.827, 5.661, 3.48, 1.872, 0.808, 0.363, 0.467, 0.816, 0.994, 1
7800, 240.747, 231.584, 205.22, 168.032, 127.479, 90.077, 59.822, 37.92, 23.493, 14.653, 9.395, 6.113, 3.81, 2.076, 0.902, 0.385, 0.459, 0.81, 0.993, 1
7900, 251.274, 241.645, 213.956, 174.95, 132.501, 93.459, 61.996, 39.32, 24.457, 15.387, 9.99, 6.592, 4.163, 2.296, 1.006, 0.411, 0.454, 0.804, 0.993, 1
8000, 261.661, 251.567, 222.558, 181.745, 137.419, 96.765, 64.123, 40.703, 25.426, 16.14, 10.612, 7.097, 4.538, 2.532, 1.12, 0.442, 0.45, 0.798, 0.992, 1
8100, 271.851, 261.295, 230.978, 188.378, 142.205, 99.975, 66.192, 42.061, 26.397, 16.911, 11.259, 7.627, 4.933, 2.784, 1.243, 0.479, 0.448, 0.792, 0.992, 1
8200, 281.786, 270.774, 239.168, 194.812, 146.832, 103.072, 68.192, 43.39, 27.366, 17.697, 11.929, 8.181, 5.349, 3.05, 1.375, 0.52, 0.448, 0.787, 0.992, 1
